id_transaction;name_customer;name_product;quantity_sold;date_transaction;category_product;unit_price;transaction_amount;region;id_seller
T1;Customer8;Tablet;2;2021-01-27;Electronics;366.3;732.6;West;S4
T2;Customer6;Smartwatch;7;2021-07-23;Electronics;133.49;934.43;South;S2
T3;Customer10;Microwave;3;2021-01-27;Home Appliances;409.2;1227.6;South-East;S7
T4;Customer30;Coffee Machine;9;2021-11-24;Home Appliances;488.53;4396.77;South-West;S9
T5;Customer22;Camera;3;2021-09-04;Electronics;180.47;541.41;East;S3
T6;Customer4;E-reader;9;2021-02-01;Electronics;124.11;1116.99;South-West;S9
T7;Customer7;Calculator;8;2021-05-05;;;;North-West;S8
T8;Customer12;Notebook;7;2021-10-24;;;;North-East;S6
T9;Customer3;Smartwatch;4;2021-05-24;Electronics;133.49;533.96;South;S2
T10;Customer13;Calculator;5;2021-10-07;;;;East;S3
T11;Customer18;Notebook;5;2021-07-09;;;;North-East;S6
T12;Customer13;Paper Clips;6;2021-07-27;;;;East;S3
T13;Customer11;Vacuum Cleaner;8;2021-04-08;Home Appliances;321.36;2570.88;Central;S5
T14;Customer28;Binder;10;2021-07-09;;;;Central;S5
T15;Customer18;Microwave;5;2021-04-22;Home Appliances;409.2;2046.0;North-East;S6
T16;Customer13;Hair Dryer;4;2021-11-03;Home Appliances;466.13;1864.52;East;S3
T17;Customer21;Electric Kettle;6;2021-02-26;Home Appliances;386.45;2318.7;West;S4
T18;Customer29;Paper Clips;2;2021-06-22;;;;South-East;S7
T19;Customer28;Binder;4;2021-11-05;;;;Central;S5
T20;Customer5;Camera;6;2021-08-16;Electronics;180.47;1082.82;Central;S5
T21;Customer18;Highlighter;2;2021-10-01;;;;North-East;S6
T22;Customer23;Toaster;9;2021-04-07;Home Appliances;472.73;4254.57;South-East;S7
T23;Customer26;Fan;9;2021-01-29;;;;North;S1
T24;Customer15;Laptop;8;2021-07-20;Electronics;286.36;2290.88;South-East;S7
T25;Customer24;Fan;4;2021-10-27;;;;North-West;S8
T26;Customer2;Headphones;2;2021-05-14;Electronics;486.39;972.78;North-East;S6
T27;Customer12;Desk Organizer;9;2021-08-19;;;;North-East;S6
T28;Customer4;VR Headset;2;2021-09-05;Electronics;421.47;842.94;South-West;S9
T29;Customer28;Portable Speaker;9;2021-11-26;;;;Central;S5
T30;Customer15;Whiteboard Marker;6;2021-02-11;;;;South-East;S7
T31;Customer9;Electric Kettle;5;2021-01-31;Home Appliances;386.45;1932.25;Central;S5
T32;Customer22;Paper Clips;5;2021-03-23;;;;East;S3
T33;Customer6;Camera;10;2021-04-05;Electronics;180.47;1804.7;South;S2
T34;Customer13;Highlighter;7;2021-05-23;;;;East;S3
T35;Customer23;Envelope;1;2021-12-16;;;;South-East;S7
T36;Customer4;Pen Set;10;2021-04-17;;;;South-West;S9
T37;Customer5;Smartphone;8;2021-09-17;Electronics;443.38;3547.04;Central;S5
T38;Customer2;Air Purifier;7;2021-11-11;Home Appliances;289.79;2028.53;North-East;S6
T39;Customer3;Air Purifier;5;2021-06-06;Home Appliances;289.79;1448.95;South;S2
T40;Customer11;Highlighter;3;2021-09-26;;;;Central;S5
T41;Customer18;Headphones;5;2021-07-25;Electronics;486.39;2431.95;North-East;S6
T42;Customer6;Desk Lamp;10;2021-03-03;;;;South;S2
T43;Customer14;Drone;9;2021-06-14;Electronics;373.0;3357.0;North-West;S8
T44;Customer9;Smartphone;9;2021-04-04;Electronics;443.38;3990.42;Central;S5
T45;Customer2;Coffee Machine;7;2021-10-06;Home Appliances;488.53;3419.71;North-East;S6
T46;Customer2;Blender;5;2021-08-11;Home Appliances;448.75;2243.75;North-East;S6
T47;Customer25;Tablet;8;2021-05-01;Electronics;366.3;2930.4;South-East;S7
T48;Customer11;Stapler;1;2021-06-05;;;;Central;S5
T49;Customer13;Calculator;4;2021-01-30;;;;East;S3
T50;Customer13;Laptop;7;2021-03-17;Electronics;286.36;2004.52;East;S3
T51;Customer29;Smartphone;4;2021-04-24;Electronics;443.38;1773.52;South-East;S7
T52;Customer23;Headphones;8;2021-03-13;Electronics;486.39;3891.12;South-East;S7
T53;Customer9;Electric Kettle;4;2021-04-02;Home Appliances;386.45;1545.8;Central;S5
