Product ID,Quantity in Stock,Pallet Space,Posting Date
1,49,R05K10P02,2024-02-27
1,15,R04K08P01,2024-03-20
1,25,R05K10P01,2024-03-24
1,84,R03K01P03,2024-02-09
1,76,R05K01P01,2024-03-10
2,42,R01K07P02,2024-03-09
2,99,R02K02P02,2024-02-11
2,51,R03K05P01,2024-03-19
3,81,R02K10P03,2024-01-30
3,29,R03K02P01,2024-02-19
3,57,R04K05P03,2024-01-30
4,68,R05K02P02,2024-03-11
4,54,R03K01P02,2024-03-01
4,14,R03K06P01,2024-02-04
4,19,R03K07P02,2024-02-20
5,90,R04K05P02,2024-01-27
5,39,R05K05P01,2024-03-15
6,96,R03K03P01,2024-03-06
6,15,R02K04P01,2024-03-08
6,67,R04K10P03,2024-02-05
6,34,R01K04P03,2024-02-15
7,20,R02K07P03,2024-03-06
7,58,R02K08P01,2024-02-06
7,49,R03K07P01,2024-02-05
8,12,R01K02P02,2024-02-08
8,62,R01K04P01,2024-02-05
9,38,R02K10P02,2024-02-08
9,68,R01K08P02,2024-02-24
10,75,R01K08P01,2024-03-18
10,80,R02K08P02,2024-02-27
11,59,R05K08P01,2024-02-01
11,33,R05K08P02,2024-01-28
11,10,R03K10P03,2024-01-28
12,19,R01K02P02,2024-02-19
12,67,R05K03P01,2024-03-14
12,86,R05K05P01,2024-02-15
13,94,R04K06P01,2024-01-31
13,16,R04K07P02,2024-02-24
14,70,R05K08P01,2024-02-16
14,17,R02K05P03,2024-02-24
15,60,R05K08P03,2024-03-03
15,11,R02K05P03,2024-02-16
15,43,R02K10P03,2024-02-08
15,80,R01K09P03,2024-02-17
16,25,R03K06P03,2024-01-30
16,47,R02K10P02,2024-02-16
16,63,R01K02P01,2024-02-25
17,76,R02K02P01,2024-03-10
17,27,R03K10P02,2024-03-15
18,72,R02K08P03,2024-03-14
18,43,R04K05P01,2024-03-25
18,80,R02K09P02,2024-02-15
18,89,R02K06P01,2024-02-25
18,46,R01K08P03,2024-02-12
19,61,R01K10P02,2024-03-24
19,28,R04K02P02,2024-02-22
19,47,R05K04P03,2024-03-11
20,16,R05K10P02,2024-01-27
20,74,R04K03P02,2024-02-19
20,17,R05K02P03,2024-02-21
20,96,R01K08P02,2024-02-27
20,12,R02K10P02,2024-02-12
21,40,R03K07P02,2024-02-07
21,56,R02K06P02,2024-02-16
21,92,R02K02P01,2024-03-21
21,79,R02K04P02,2024-03-24
22,94,R02K04P03,2024-03-19
22,29,R05K02P03,2024-03-14
22,94,R02K01P01,2024-02-03
22,34,R05K06P01,2024-02-23
23,100,R05K04P01,2024-01-31
23,29,R04K04P02,2024-02-14
23,66,R02K09P02,2024-02-27
23,75,R04K09P02,2024-03-12
24,42,R05K03P02,2024-02-28
24,16,R01K09P01,2024-03-19
24,48,R03K03P01,2024-03-22
25,15,R01K10P02,2024-03-26
25,12,R01K05P02,2024-03-04
25,57,R02K03P02,2024-02-29
25,85,R01K09P02,2024-03-15
25,68,R01K06P02,2024-03-11
26,84,R05K02P02,2024-03-23
26,84,R03K03P02,2024-02-14
26,44,R04K01P02,2024-03-02
26,18,R01K05P02,2024-02-12
26,49,R05K08P01,2024-02-15
27,81,R02K06P01,2024-02-24
27,95,R03K05P03,2024-03-14
27,61,R04K09P01,2024-03-09
27,29,R05K04P02,2024-02-14
28,30,R05K10P02,2024-02-16
28,95,R02K08P03,2024-03-24
28,73,R05K07P01,2024-01-27
28,49,R01K01P03,2024-02-10
29,94,R04K05P03,2024-03-21
29,22,R01K05P03,2024-02-27
29,53,R01K07P02,2024-03-15
29,41,R05K10P01,2024-03-25
29,53,R03K07P02,2024-03-19
30,46,R04K07P01,2024-03-25
30,69,R02K03P02,2024-02-07
30,69,R03K03P01,2024-01-28
30,32,R05K08P03,2024-03-16
30,89,R05K10P01,2024-02-22
31,54,R03K06P02,2024-03-13
31,32,R01K02P03,2024-03-20
